Function,Rao-1_Best,Rao-1_Worst,Rao-1_Median,Rao-1_Mean,Rao-1_Std,ZO-QRAO_Best,ZO-QRAO_Worst,ZO-QRAO_Median,ZO-QRAO_Mean,ZO-QRAO_Std,W/T/L,p-value
F1,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,Tie,1.0000
F2,5.8876e+00,7.1004e+01,4.9084e+01,4.5428e+01,1.2702e+01,4.7339e-04,4.9084e+01,4.9084e+01,3.7354e+01,2.0628e+01,Tie,0.7035
F3,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,Tie,1.0000
F4,1.0830e+02,2.0498e+02,1.6290e+02,1.6126e+02,2.1552e+01,5.8001e+01,2.3800e+02,1.5100e+02,1.4720e+02,4.6506e+01,Tie,0.1840
F5,0.0000e+00,4.7367e+00,2.7193e-01,4.3026e-01,8.6268e-01,7.2291e-01,1.1865e+01,5.2175e+00,5.6966e+00,3.2905e+00,Loss,0.0000
F6,1.1849e+05,2.4767e+07,2.8027e+06,5.6442e+06,6.0798e+06,4.0415e+04,1.2165e+05,7.3422e+04,7.6777e+04,2.2185e+04,Win,0.0000
